MS_SAMPLE_ID	MS_SAMPLE_ID2	Sample	Microbes	Culture	Media	Strain	Alanine_1Bz	Arginine_1Bz	Asparagine_1Bz	Aspartic Acid_1Bz	Beta-Alanine_1Bz	Citrulline_1Bz	Glutamic Acid_1Bz	Glutamine_1Bz	Glycine_1Bz	Histidine_1Bz	Isoleucine_1Bz	Leucine_1Bz	Lysine_2Bz	N-acetylputrescine_1Bz	Ornithine_2Bz	Phenylalanine_1Bz	Proline_1Bz	Serine_1Bz	Threonine_1Bz	Tyrosine_2Bz	Valine_1Bz
01_B_SA_R09	1_B_SA_R09	1	B	Single	SA	R09	3165630	3860230	384121	1106859		154228	3601639	379785	724902	709328	1100626	2261296	2374880	767686	1474585	1481100	1564923	2202241	1304055	1387111	1212170
02_B_SA_R09	2_B_SA_R09	2	B	Single	SA	R09	2421746	3576903	323630	963897		19037	2576203	256034	607820	473666	1042323	2386394	2411451	713994	451574	1594004	829148	1578943	916569	1086526	1100127
03_B_SA_R09	3_B_SA_R09	3	B	Single	SA	R09	2145733	4391444	373257	1029297		57681	2669958	378672	531697	835977	1014539	2142590	2340882	767958	1036806	1398827	950010	1772599	1072698	1018126	1048244
04_F_B_SA_R09	4_FB_SA_R09	4	FB	Coculture	SA	R09	1974617	5759161	435392	1040718	275624	59557	2503680	467607	3935485	874184	1372324	2773109	2770924	426731	1174444	1864190	1254250	1860738	1511134	1391101	1571406
05_F_B_SA_R09	5_FB_SA_R09	5	FB	Coculture	SA	R09	1467417	8756626	485677	1050631	433693	18958	2476517	324314	507571	702904	1037018	2527310	3473626	490307	400839	1810047	1401474	1360183	1086882	1063040	1333676
06_F_B_SA_R09	6_FB_SA_R09	6	FB	Coculture	SA	R09	1502288	6184487	487102	927209	324983	37165	2114719	320915	661931	864273	1093653	2327487	2603887	503823	815336	1627169	1065248	1853368	1190576	1016765	1252359
07_B_SA_R16	7_B_SA_R16	7	B	Single	SA	R16	1790427	7736553	633768	392030	2636114	19367	1119117	425663	447277	702044	915167	2097055	3464339	2013602	853042	1204485	2443802	1055676	1060850	1235393	1050185
08_B_SA_R16	8_B_SA_R16	8	B	Single	SA	R16	1262312	3933040	472494	368821	2173326	28591	854065	253781	397325	602979	808058	1842915	2683560	1838248	599763	979964	1960246	1053743	841387	1032368	854805
09_B_SA_R16	9_B_SA_R16	9	B	Single	SA	R16	1663098	7111896	510070	579795	2753602	58895	1290557	306144	542745	1012238	907160	2210538	3418842	1861355	952674	1252283	2565596	1543278	991244	1059878	915632
10_F_B_SA_R16	10_FB_SA_R16	10	FB	Coculture	SA	R16	3032641	9825432	1014958	1724382	611847	39607	2596094	527923	1344703	4888663	2022922	4092540	8980665	996856	8688362	2858318	4488910	5149444	2980673	3052426	2338469
11_F_B_SA_R16	100_MediaC_SA_Media	100	MediaC	Control	SA	Media	1672500	6259901	721029	608311	453681	25052	1359354	386710	554988	994382	1371269	3169368	4630193	886989	711330	2011468	2070658	1551493	1454347	1629356	1578447
12_F_B_SA_R16	101_MediaC_SA_Media	101	MediaC	Control	SA	Media	2446066	10687540	866459	1263122	436788	780091	2196483	402393	1507426	5218668	1779852	3726296	7237144	769813	3117616	2542505	3032158	3651470	2291265	1990178	2125653
13_B_SA_R147	102_MediaC_SA_Media	102	MediaC	Control	SA	Media	10567092	9545082	2366825	1967233	6252483	382556	8038964	745713	1929280	3605211	6250921	13174918	6100747	1464770	8907148	8697060	22933708	5496986	4424689	8397950	8765664
14_B_SA_R147	103_MediaC_SA_Media	103	MediaC	Control	SA	Media	6756889	7375888	1276495	2347777	5274522	1069949	10373582	505983	1385145	2771424	1927066	4204506	4538818	1571649	6464486	3324264	11149213	4760008	2760290	3223627	2475538
15_B_SA_R147	104_MediaC_SA_Media	104	MediaC	Control	SA	Media	17826467	10820179	3050469	4017407	7465250	572160	22589142	804349	3887073	2535875	9485930	13151576	7738214	1753678	9691050	3753714	18870283	9645543	7288656	3434202	29218654
16_F_B_SA_R147	11_FB_SA_R16	11	FB	Coculture	SA	R16	6051307	8131215	852070	2643742	794208	74302	9958315	974810	1019693	1356816	2164502	4923860	16078937	968221	1957030	3763449	4449365	2741115	3940525	2721929	2742072
17_F_B_SA_R147	12_FB_SA_R16	12	FB	Coculture	SA	R16	5046589	6671655	860715	2927766	1094217	80747	9536779	687199	1000345	1515289	1806978	4497235	4059610	942149	1947325	2927813	3623907	2948674	2382444	2438314	2227454
18_F_B_SA_R147	13_B_SA_R147	13	B	Single	SA	R147	3001248	6537852	814476	3029375	956915	134878	6942892	670665	1161716	1992783	1931294	4506568	4391760	881044	3307145	2966681	4255106	3334549	2200086	2210911	2304514
19_B_SA_R318	14_B_SA_R147	14	B	Single	SA	R147	2903686	15263494	512321	688081	2460017	29122	1784357	635260	613749	763857	1183819	2968909	4957674	1919399	5743529	1807541	4530543	1506348	1815211	1822545	3667369
20_B_SA_R318	15_B_SA_R147	15	B	Single	SA	R147	1819607	16217451	548840	831622	2444284	53731	1629244	480553	548182	1019219	1219024	3159074	7755793	1631251	5603509	2183116	2853883	1924223	1765390	1719224	1547901
21_B_SA_R318	16_FB_SA_R147	16	FB	Coculture	SA	R147	1537328	23812043	430565	619251	1742316	87671	1101512	288615	543098	737475	1019751	2676812	7382836	1547849	3133356	1725758	2192096	1405539	1076902	1509045	1296534
22_F_B_SA_R318	17_FB_SA_R147	17	FB	Coculture	SA	R147	4487291	17151408	844072	1351536	656624	136023	2936340	831993	856262	1668218	2333673	5119291	8935556	1259359	2545793	3213922	5167890	2909450	3293056	2986421	7009445
23_F_B_SA_R318	18_FB_SA_R147	18	FB	Coculture	SA	R147	2576259	16418534	626204	1024104	510417	131655	1862889	623691	736698	1524990	1896244	4410509	7592185	1136546	1526209	2751585	2490163	2410414	2523920	2461280	2457117
24_Media_SA_Media	19_B_SA_R318	19	B	Single	SA	R318	19313298	10808086	3765985	4308350	11443164	620413	13971513	1030688	5291648	4537044	7002702	16058973	4565140	1355324	13345998	10053489	32037697	11264920	9434791	8229499	11837768
25_F_B_SA_R318	20_B_SA_R318	20	B	Single	SA	R318	2806582	14895600	1129825	2003075	559331	847954	3100940	428853	1148557	3322831	2077374	4527334	7970015	864870	3498912	3069530	3582642	5095127	2803279	3174706	2735700
26_B_SA_R329	21_B_SA_R318	21	B	Single	SA	R318	5542830	3672987	387717	1635425		73029	4242492	362408	2316811	1178224	1053177	2332391	3267190	367289	3153529	1629578	2261194	2210847	1301841	1258124	1283091
27_B_SA_R329	22_FB_SA_R318	22	FB	Coculture	SA	R318	4125166	13109134	757026	1808763		181577	3291753	424249	829943	2141098	1537726	3823959	5677100	173497	3446068	2539152	1685828	3207011	1910363	2346698	1869289
28_B_SA_R329	23_FB_SA_R318	23	FB	Coculture	SA	R318	4138008	12275292	778227	1810387		942989	4464619	346265	2753763	2850330	1215846	2862962	6293850	231655	2226496	1886925	2322817	3887107	1797777	2228263	1581176
29_F_B_SA_R329	24_Media_SA_Media	24	Media	Control	SA	Media	4433628	12837672	960548	1991104		141201	5761923	501094	947151	1951773	2235261	4634086	7536123	177442	2892260	3352462	3017221	3086026	2689709	2551272	5968671
30_F_B_SA_R329	25_FB_SA_R318	25	FB	Coculture	SA	R318	3432160	17110944	1065626	1938002		126972	4458032	523091	845525	2302613	2492263	5417156	7829518	133737	1805482	3510931	1743414	3179117	2598408	3116050	2858932
31_F_B_SA_R329	26_B_SA_R329	26	B	Single	SA	R329	3058198	15128123	870435	1704657		94900	3652591	488385	885415	2212210	2268581	4772866	7995806	242519	2040066	3353329	1741725	2821084	2179223	2127086	2720654
32_B_SA_R420	27_B_SA_R329	27	B	Single	SA	R329	13910817	9652842	1680937	1828033	8597685	761347	5217802	341273	13504463	2161823	2595532	4928839	5143586	1504074	2749827	2783235	33759609	4564575	2652866	2561173	6296715
33_B_SA_R420	28_B_SA_R329	28	B	Single	SA	R329	13136131	9315995	1666539	2038084	7286936	558825	6253470	297490	2161426	1992092	1592417	3391146	4751051	1578819	2074779	2033906	25366348	3722318	2849229	2187918	5282414
34_B_SA_R420	29_FB_SA_R329	29	FB	Coculture	SA	R329	14809296	11538429	3055156	3595768	7392081	623662	6785628	352396	2740224	2016767	1503730	3268532	4987236	1371917	1926676	2545519	19675062	7196703	3377058	2726409	5667953
35_F_B_SA_R420	30_FB_SA_R329	30	FB	Coculture	SA	R329	4353695	10525437	1024514	3359302	1570728	179513	9667698	439913	1073326	1793245	1521326	3251613	5427036	843151	2740353	2657886	7613954	2838681	2102363	2176684	1960470
36_F_B_SA_R420	31_FB_SA_R329	31	FB	Coculture	SA	R329	3373050	14083910	1013426	2970424	1066718	92014	5807875	426348	1305191	2406697	1932708	4175239	6709874	815209	2945635	3154115	3928515	3262782	2494028	3057570	2470114
37_F_B_SA_R420	32_B_SA_R420	32	B	Single	SA	R420	3208481	14755940	827258	2577982	1284298	142440	3988807	418396	919673	2037333	1526859	3391672	5875170	682730	1152109	2870899	4263491	2474361	1903979	2646166	1973238
38_B_SA_R431	33_B_SA_R420	33	B	Single	SA	R420	12767171	13669948	1234977	1646798	8472122	525968	8905425	689287	1525131	2269043	2135191	4428526	10513466	1842977	4665700	3208855	62065889	3624489	3150870	2656062	3951075
39_B_SA_R431	34_B_SA_R420	34	B	Single	SA	R420	10032078	17088066	1540747	2128533	6441336	478169	9600834	541692	2197122	2304478	3135985	5124333	8628615	1595985	6758795	2610451	27623520	4045162	3380766	3003731	5390834
40_B_SA_R431	35_FB_SA_R420	35	FB	Coculture	SA	R420	7453980	8943743	1723218	1348715	7016649	464699	5086642	540387	2302942	1201128	1866353	3764542	3467768	1645125	2639885	1775456	25026069	3809690	3350986	1650142	2754122
41_F_B_SA_R431	36_FB_SA_R420	36	FB	Coculture	SA	R420	4850172	11377237	1073740	2777821	1186605	157942	10574352	876977	1833776	1419805	2198800	4603161	5995862	894141	1783546	3351525	7565249	2725452	2754820	2710802	2533225
42_F_B_SA_R431	37_FB_SA_R420	37	FB	Coculture	SA	R420	2995023	14052859	837092	1793838	1134853	134860	5522594	541906	754994	1777765	1616657	3253851	6359510	909500	1349297	2552512	4475299	2447929	1786971	2368819	1902431
43_F_B_SA_R431	38_B_SA_R431	38	B	Single	SA	R431	4426089	11065164	810388	3108700	3102985	234554	7038756	782066	1487448	2260879	2282147	4542995	7723986	783705	2866306	2746411	11206153	4351928	3693791	1651266	3211581
44_B_SA_R565	39_B_SA_R431	39	B	Single	SA	R431	2173364	10268113	567765	601799	1602403	660791	1772642	495505	1799558	880187	3719180	6590616	9557808	3536595	10074682	3969362	2567347	1756301	2289880	2879845	3553550
45_B_SA_R565	40_B_SA_R431	40	B	Single	SA	R431	3498153	28385372	1008260	941684	1865048	760034	2426238	497096	983645	2888064	4211894	7507228	18327370	3083455	7615485	4670871	2671824	3252768	3387025	4048301	4344395
46_B_SA_R565	41_FB_SA_R431	41	FB	Coculture	SA	R431	2183907	13889957	614511	680371	2004887	774868	1385004	328988	677207	1506210	2248659	4351674	5079408	3691279	8524157	2664894	2560178	2476863	1921247	3085725	2253083
47_Media_SA_Media	42_FB_SA_R431	42	FB	Coculture	SA	R431	20199500	16316780	1763145	2324170	9838221	635661	14185331	682577	2722593	2177259	5179681	7937717	9339077	1767383	9012456	3815423	30731028	5122868	5081627	2818282	10065047
48_Media_SA_Media	43_FB_SA_R431	43	FB	Coculture	SA	R431	12033042	24010811	1413203	2003226	7371602	654321	10704899	648497	2015128	4072524	3208710	6249782	15123357	1800439	8457700	4447545	37010104	4615383	3786980	5958674	6736848
49_F_B_SA_R565	44_B_SA_R565	44	B	Single	SA	R565	3688062	9140502	485905	980050	880741	164532	2342435	483432	704054	965101	3117507	6089494	4708900	2334352	2204190	3658354	2399021	2300193	2753312	2887295	3181750
50_F_B_SA_R565	45_B_SA_R565	45	B	Single	SA	R565	2683267	8420047	471312	1177682	630110	152001	1787886	428704	866775	1479485	2804586	5668106	4267240	2021355	2685391	3575091	2764486	2776429	2272858	2907241	2937995
51_F_B_SA_R565	46_B_SA_R565	46	B	Single	SA	R565	2665145	12105219	568410	949847	654256	132838	2058697	492580	771048	1387758	2677828	5271979	4360384	1829380	1954175	3191072	2785595	2570534	2764324	2923524	2980563
52_B_SA_R568	47_Media_SA_Media	47	Media	Control	SA	Media	4739476	6398100	388038	1081911	3483208	145899	2131516	481885	884248	1184473	2103762	5255317	5134255	1755064	1927100	3406664	7040894	2788487	2531814	2348092	2621535
53_B_SA_R568	48_Media_SA_Media	48	Media	Control	SA	Media	4139035	7683064	457038	1506365	3198972	423450	2158333	523348	1210380	3178178	2787212	6087665	4959784	1530652	2579871	4043335	4910492	4032369	3144168	3335250	3305029
54_B_SA_R568	49_FB_SA_R565	49	FB	Coculture	SA	R565	8613583	8885451	1846818	3236803	5254618	310455	11363509	808514	3035256	2672750	4024380	9231652	4449002	915166	5043049	3952655	9450801	6209894	4855979	4185432	6520966
55_F_B_SA_R568	50_FB_SA_R565	50	FB	Coculture	SA	R565	14202243	8212793	1913987	3341344	7104214	393816	13750170	921812	3523565	2493949	5053167	11492653	4738373	1089433	6685091	4735681	19599116	6964801	6437760	3969090	17901127
56_F_B_SA_R568	51_FB_SA_R565	51	FB	Coculture	SA	R565	3817202	8458250	976593	3855011	1284722	94112	11993339	714649	1354134	2398098	2718169	6816928	6416065	795481	4260233	4699383	4053553	4493171	3060555	3909269	3400455
