MS_SAMPLE_ID	MS_SAMPLE_ID2	Sample	Microbes	Culture	Media	Strain	gluconic acid	glucose&Unk_hexose	glyceric acid	glycerol 3-phosphate	isocitric acid	lactic acid	malic acid	maltose_sucrose	mannitol_sorbitol	pyruvic acid	succinic acid	3OMethyl_Glucose
01_B_SA_R09	1_B_SA_R09	1	B	Single	SA	R09	712078389	1829402772	193201897	8954575	758675284	246900417	533400801	45339016	13220769	118078546	172118063	47711777
02_B_SA_R09	2_B_SA_R09	2	B	Single	SA	R09	749598821	1396447151	203692515	8263106	552139963	125009569	329380332	22797467	5954576	129788606	84141628	32870999
03_B_SA_R09	3_B_SA_R09	3	B	Single	SA	R09	892651033	1505151067	198718189	8529312	575856853	150896019	353400468	19620488	6261771	108727604	94217118	36010007
04_F_B_SA_R09	4_FB_SA_R09	4	FB	Coculture	SA	R09	627012083	1701504800	211872902	7818963	778036000	161146654	530252407	42513854	14529346	109106326	143867816	51351405
05_F_B_SA_R09	5_FB_SA_R09	5	FB	Coculture	SA	R09	179259829	1401164893	241724962	8438516	530970984	128637931	292567648	7676957	7223080	105091248	90741740	38251681
06_F_B_SA_R09	6_FB_SA_R09	6	FB	Coculture	SA	R09	711513296	1401403566	205665576	7451502	558187310	160241254	322331889	21002787	7107432	85226732	94820637	37490007
07_B_SA_R16	7_B_SA_R16	7	B	Single	SA	R16	1503957005	1977664088	1077991934	815996	723362941	224966748	304972736	40881763	6769537	99552198	67886314	46616386
08_B_SA_R16	8_B_SA_R16	8	B	Single	SA	R16	1272143309	1412849952	1280404114	807164	475301352	252186255	225899604	21210870	4329806	119963910	59976105	30511982
09_B_SA_R16	9_B_SA_R16	9	B	Single	SA	R16	1445454770	1664023109	1455599792	1699424	542389677	361088936	386658641	22998015	9058040	153781426	189784832	35054437
10_F_B_SA_R16	10_FB_SA_R16	10	FB	Coculture	SA	R16	990088940	1628449885	598310864	2073420	677818140	393063814	365119667	40360148	11799016	142410383	161685154	51930178
100_Media_C_SA_Media_C	100_MediaC_SA_Media	100	MediaC	Control	SA	Media	1789750023	1461801530	1767210088	20049448	667184692	503453822	6245922806	27050288	20951335	207826457	3059286589	27254858
101_Media_C_SA_Media_C	101_MediaC_SA_Media	101	MediaC	Control	SA	Media	1857320404	1625277373	1680544061	20527505	707182827	452342606	6149758188	22548860	21005931	144151386	2926445884	30783570
102_Media_C_SA_Media_C	102_MediaC_SA_Media	102	MediaC	Control	SA	Media	2409390558	1583277161	1563389740	21992233	676502992	378433692	5539971914	29183241	19603937	126383696	2623508421	31102505
103_Media_C_SA_Media_C	103_MediaC_SA_Media	103	MediaC	Control	SA	Media	2656202972	1469793907	1825297177	19755666	631241388	505523927	6127358212	23715094	20665240	208703321	3033609307	27415023
104_Media_C_SA_Media_C	104_MediaC_SA_Media	104	MediaC	Control	SA	Media	1617758283	1536161555	1699435149	21443228	679165914	429398096	6143756849	22044167	21064750	156849699	2912049993	29322450
11_F_B_SA_R16	11_FB_SA_R16	11	FB	Coculture	SA	R16	1142004129	1283040380	600566954	1199929	472085417	226078142	232776604	18356418	5917892	115810863	62920018	36134536
12_F_B_SA_R16	12_FB_SA_R16	12	FB	Coculture	SA	R16	1062829915	1267452190	445586917	1343150	512034550	203853363	232362253	15404385	5248723	107428078	77011856	38913357
13_B_SA_R147	13_B_SA_R147	13	B	Single	SA	R147	1886987121	1993189567	1827164096	21179920	919070460	792788074	8084078637	50313686	30112513	347493182	4003935196	42670500
14_B_SA_R147	14_B_SA_R147	14	B	Single	SA	R147	1431284307	1308148876	1464698342	15589082	574189143	532010504	3528187734	19547977	19252102	276876898	1667031459	26894842
15_B_SA_R147	15_B_SA_R147	15	B	Single	SA	R147	2311176779	1601789724	1581577543	22741855	729314622	596275062	5509078254	23465923	10610459	985671005	2667404034	31578342
16_F_B_SA_R147	16_FB_SA_R147	16	FB	Coculture	SA	R147	1100720400	1778334861	936731586	26755900	813813809	612219844	2664264559	48627493	37281246	340471113	1531120379	50058746
17_F_B_SA_R147	17_FB_SA_R147	17	FB	Coculture	SA	R147	1426634557	1280620396	1091596367	19223616	612291962	633022152	4048119273	24466076	15062318	526820613	2081827349	31358239
18_F_B_SA_R147	18_FB_SA_R147	18	FB	Coculture	SA	R147	1365912342	1456706672	988792091	22157574	630004761	391923804	2960808163	24801360	23210963	308091146	1300139259	32902881
19_B_SA_R318	19_B_SA_R318	19	B	Single	SA	R318	191677694	1580323466	435296966	3628356	693871724	188437147	409443600	56169243	2854125	103403673	178438980	53116861
20_B_SA_R318	20_B_SA_R318	20	B	Single	SA	R318	884860519	1205537153	713466211	3399816	433325005	264961359	725499488	24602929	4158675	98267236	353868857	31721905
21_B_SA_R318	21_B_SA_R318	21	B	Single	SA	R318	124784159	1166550292	299004846	2464031	464820923	143767796	229459894	28600380	1416126	78809434	94690003	35184433
22_F_B_SA_R318	22_FB_SA_R318	22	FB	Coculture	SA	R318	361770159	1426316428	602534773	5348638	694573912	351236982	354053313	53757236	3398051	173068410	177019116	56581661
23_F_B_SA_R318	23_FB_SA_R318	23	FB	Coculture	SA	R318	135260325	953050732	446224730	3223037	442237881	203732014	216381031	23444546	1395038	123074381	124497930	35194526
24_Media_SA_Media	24_Media_SA_Media	24	Media	Control	SA	Media	1971168753	1997379547	1671403573	21499166	980175864	813785773	7663531917	49409359	20761117	558280246	3759103041	41560656
25_F_B_SA_R318	25_FB_SA_R318	25	FB	Coculture	SA	R318	311309760	1019479061	509940659	6366405	489331388	188007415	373999358	20959731	2913915	107002612	177104316	39548263
26_B_SA_R329	26_B_SA_R329	26	B	Single	SA	R329	736587437	2087089883	206817830	16327855	832885530	187750592	464791298	43662484	21579732	118291865	128012927	52038422
27_B_SA_R329	27_B_SA_R329	27	B	Single	SA	R329	335005715	1453796789	160879505	17521695	486920227	171976715	258434773	14772978	8040664	123246669	109808021	33634799
28_B_SA_R329	28_B_SA_R329	28	B	Single	SA	R329	483439587	1591755023	185063511	19639071	527564357	157699080	334131921	18245097	8446708	85060016	108412814	37325255
29_F_B_SA_R329	29_FB_SA_R329	29	FB	Coculture	SA	R329	379809796	1970758238	248235898	24956696	858828258	203635401	343100459	31300958	14761784	133103173	140430184	54781217
30_F_B_SA_R329	30_FB_SA_R329	30	FB	Coculture	SA	R329	490756745	1367916530	228681418	18301041	501663128	134170086	257954987	14546722	8014754	108761482	105461408	34611430
31_F_B_SA_R329	31_FB_SA_R329	31	FB	Coculture	SA	R329	432007104	1550370149	236130789	22141668	567765267	129642818	241040780	15790756	7978229	105711185	106131629	38200761
32_B_SA_R420	32_B_SA_R420	32	B	Single	SA	R420	238471107	2177764626	859384261	17396043	825880872	795493521	1785251560	17462915	12856170	290444568	536995655	46211625
33_B_SA_R420	33_B_SA_R420	33	B	Single	SA	R420	240503827	1543590446	685968675	35033288	577520446	572416769	3067182345	11304520	7511956	272842180	1396431197	30967858
34_B_SA_R420	34_B_SA_R420	34	B	Single	SA	R420	937920510	1711103826	914795962	30291162	693616942	592794003	4552303137	20184559	7742066	447430090	2182277665	32727676
35_F_B_SA_R420	35_FB_SA_R420	35	FB	Coculture	SA	R420	510114159	1749697487	766679270	38050078	826633137	411146206	2461484381	32904408	13441798	318979046	1051843068	46222126
36_F_B_SA_R420	36_FB_SA_R420	36	FB	Coculture	SA	R420	960612779	1297615121	756330554	33095322	594931811	397427052	1723479343	14226409	8015113	330813652	770827292	34426993
37_F_B_SA_R420	37_FB_SA_R420	37	FB	Coculture	SA	R420	292456242	1450535706	637297800	29912039	630033433	289469143	1000115502	16533722	9690840	257525900	287101610	42527566
38_B_SA_R431	38_B_SA_R431	38	B	Single	SA	R431	1497651037	2061274744	717149324	41105540	845135287	655993332	3284046482	35109490	11542752	214627016	1232685796	46962367
39_B_SA_R431	39_B_SA_R431	39	B	Single	SA	R431	1262175767	1384496706	1014636652	26890386	566980568	606141129	3289205424	14255288	6706755	317359623	1529800091	27584541
40_B_SA_R431	40_B_SA_R431	40	B	Single	SA	R431	301441863	1795468422	921686374	20860880	688377410	579592826	2045490211	19469239	9443150	186395928	592971485	38054699
41_F_B_SA_R431	41_FB_SA_R431	41	FB	Coculture	SA	R431	1622916293	1795866728	1059564942	28897552	866466640	404503232	3919130120	42704012	15111814	253947213	1724366960	45298510
42_F_B_SA_R431	42_FB_SA_R431	42	FB	Coculture	SA	R431	168765622	1339182817	707617082	15347310	565259069	419118358	983777226	8022632	8643718	173765066	327316260	36382502
43_F_B_SA_R431	43_FB_SA_R431	43	FB	Coculture	SA	R431	1432639094	1317690686	1183880835	20394677	602264443	1155753836	4334926719	24951812	50999807	507824653	2287845431	33005575
44_B_SA_R565	44_B_SA_R565	44	B	Single	SA	R565	286490275	1951759854	314298151	5499771	406726652	200502580	281386153	39030363	11326151	146821045	77954437	45219440
45_B_SA_R565	45_B_SA_R565	45	B	Single	SA	R565	249558256	1451025012	280701143	6437620	297934052	190420279	221650172	15312230	8660452	123935626	73729799	36177963
46_B_SA_R565	46_B_SA_R565	46	B	Single	SA	R565	308183484	1598897957	235403441	4740760	309923399	143159783	197843285	25559659	8746281	111675274	46330532	36931415
47_Media_SA_Media	47_Media_SA_Media	47	Media	Control	SA	Media	1492521993	1956167499	963232442	35366881	863823270	770618278	4612118557	33591364	10336448	509337266	2098047841	42182390
48_Media_SA_Media	48_Media_SA_Media	48	Media	Control	SA	Media	1513133757	1636237715	727862838	39888524	680091829	557639516	2405489367	20635764	7447078	292407655	957156086	34335605
