"","MS_SAMPLE_ID","MS_SAMPLE_ID2","Sample","Microbes","Culture","Media","Strain","Mean_TIC","TOTAL_TIC","CORRECTION2","Metabolites","PEAK_AREA","PEAK_AREA_TIC","PEAK_AREA_TIC_Log","PEAK_AREA_Log"
"1","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",31217395,104760233.837838,3.35582882036883,"Alanine_1Bz",3165630,10623312.3886242,7.02625995250864,6.5004601529936
"2","02_B_SA_R09","2_B_SA_R09","2","B","Single","SA","R09",25329989,104760233.837838,4.13581837077931,"Alanine_1Bz",2421746,10015901.5961613,7.00069004904786,6.38412859108488
"3","03_B_SA_R09","3_B_SA_R09","3","B","Single","SA","R09",26976995,104760233.837838,3.88331739090428,"Alanine_1Bz",2145733,8332562.27513721,6.92077856813483,6.33157568042547
"4","04_F_B_SA_R09","4_FB_SA_R09","4","FB","Coculture","SA","R09",35296376,104760233.837838,2.9680167119094,"Alanine_1Bz",1974617,5860696.2556204,6.76794921363101,6.29548287165017
"5","05_F_B_SA_R09","5_FB_SA_R09","5","FB","Coculture","SA","R09",32208710,104760233.837838,3.25254360816803,"Alanine_1Bz",1467417,4772837.78386711,6.67877667409627,6.16655354606179
"6","06_F_B_SA_R09","6_FB_SA_R09","6","FB","Coculture","SA","R09",28774743,104760233.837838,3.64070093824427,"Alanine_1Bz",1502288,5469381.33111311,6.73793820390578,6.17675319819474
"7","07_B_SA_R16","7_B_SA_R16","7","B","Single","SA","R16",33295956,104760233.837838,3.14633506356862,"Alanine_1Bz",1790427,5633283.24885997,6.75076158867973,6.25295661848197
"8","08_B_SA_R16","8_B_SA_R16","8","B","Single","SA","R16",24841791,104760233.837838,4.21709665932854,"Alanine_1Bz",1262312,5323291.71823033,6.72618026631295,6.1011667107968
"9","09_B_SA_R16","9_B_SA_R16","9","B","Single","SA","R16",33507520,104760233.837838,3.12646933696788,"Alanine_1Bz",1663098,5199624.9013726,6.71597201495407,6.2209178412852
"10","10_F_B_SA_R16","10_FB_SA_R16","10","FB","Coculture","SA","R16",71255835,104760233.837838,1.47019866987508,"Alanine_1Bz",3032641,4458584.76440862,6.64919702764828,6.48182100215143
"11","11_F_B_SA_R16","100_MediaC_SA_Media","100","MediaC","Control","SA","Media",34100826,104760233.837838,3.07207320543607,"Alanine_1Bz",1672500,5138042.43609183,6.71079768686774,6.22336612643986
"12","12_F_B_SA_R16","101_MediaC_SA_Media","101","MediaC","Control","SA","Media",58068986,104760233.837838,1.80406514826758,"Alanine_1Bz",2446066,4412862.42096228,6.64472038773536,6.38846817103596
"13","13_B_SA_R147","102_MediaC_SA_Media","102","MediaC","Control","SA","Media",140015000,104760233.837838,0.748207219496753,"Alanine_1Bz",10567092,7906374.52348638,6.89797738294282,7.02395548852667
"14","14_B_SA_R147","103_MediaC_SA_Media","103","MediaC","Control","SA","Media",85537119,104760233.837838,1.22473418631083,"Alanine_1Bz",6756889,8275392.95140761,6.91778862511557,6.82974678453346
"15","15_B_SA_R147","104_MediaC_SA_Media","104","MediaC","Control","SA","Media",187599871,104760233.837838,0.558423805301219,"Alanine_1Bz",17826467,9954723.53721661,6.99802920329577,7.25106527954995
"16","16_F_B_SA_R147","11_FB_SA_R16","11","FB","Coculture","SA","R16",78307483,104760233.837838,1.33780616902012,"Alanine_1Bz",6051307,8095475.83523461,6.90824238076614,6.78184918648454
"17","17_F_B_SA_R147","12_FB_SA_R16","12","FB","Coculture","SA","R16",59223204,104760233.837838,1.76890520542992,"Alanine_1Bz",5046589,8926937.55176535,6.95070249668508,6.70299793673284
"18","18_F_B_SA_R147","13_B_SA_R147","13","B","Single","SA","R147",57532458,104760233.837838,1.82088924199689,"Alanine_1Bz",3001248,5464940.19576468,6.73758541371637,6.47730188365592
"19","19_B_SA_R318","14_B_SA_R147","14","B","Single","SA","R147",57576831,104760233.837838,1.81948592894662,"Alanine_1Bz",2903686,5283215.81907931,6.72289835195531,6.46294965065051
"20","20_B_SA_R318","15_B_SA_R147","15","B","Single","SA","R147",56955121,104760233.837838,1.8393470507742,"Alanine_1Bz",1819607,3346888.76901809,6.52464127919244,6.25997759888529
"21","21_B_SA_R318","16_FB_SA_R147","16","FB","Coculture","SA","R147",55866352,104760233.837838,1.8751937452053,"Alanine_1Bz",1537328,2882787.84992898,6.45981268297256,6.1867665372413
"22","22_F_B_SA_R318","17_FB_SA_R147","17","FB","Coculture","SA","R147",75693623,104760233.837838,1.38400342969232,"Alanine_1Bz",4487291,6210426.1340275,6.79312140070915,6.65198423436398
"23","23_F_B_SA_R318","18_FB_SA_R147","18","FB","Coculture","SA","R147",57691613,104760233.837838,1.815865918636,"Alanine_1Bz",2576259,4678140.91567927,6.67007329955526,6.41098952197058
"24","24_Media_SA_Media","19_B_SA_R318","19","B","Single","SA","R318",200276490,104760233.837838,0.523078039952856,"Alanine_1Bz",19313298,10102362.0628654,7.00442292932054,7.28585644161482
"25","25_F_B_SA_R318","20_B_SA_R318","20","B","Single","SA","R318",69643037,104760233.837838,1.50424562670691,"Alanine_1Bz",2806582,4221788.69949435,6.62549649307868,6.44817773553744
"26","26_B_SA_R329","21_B_SA_R318","21","B","Single","SA","R318",39530174,104760233.837838,2.65013338514113,"Alanine_1Bz",5542830,14689238.8311618,7.16699929204683,6.74373155887496
"27","27_B_SA_R329","22_FB_SA_R318","22","FB","Coculture","SA","R318",54885400,104760233.837838,1.90870857892696,"Alanine_1Bz",4125166,7873739.73369782,6.89618105509645,6.61544142959708
"28","28_B_SA_R329","23_FB_SA_R318","23","FB","Coculture","SA","R318",56894754,104760233.837838,1.84129865185528,"Alanine_1Bz",4138008,7619308.55176637,6.88191556113256,6.61679132595091
"29","29_F_B_SA_R329","24_Media_SA_Media","24","Media","Control","SA","Media",67666627,104760233.837838,1.54818170318786,"Alanine_1Bz",4433628,6864061.7483414,6.83658118172342,6.64675925117704
"30","30_F_B_SA_R329","25_FB_SA_R318","25","FB","Coculture","SA","R318",66487973,104760233.837838,1.57562682558901,"Alanine_1Bz",3432160,5407803.36571358,6.7330208917468,6.53556752553372
"31","31_F_B_SA_R329","26_B_SA_R329","26","B","Single","SA","R329",60357853,104760233.837838,1.73565209216169,"Alanine_1Bz",3058198,5307967.7569447,6.72492827609452,6.48546559995259
"32","32_B_SA_R420","27_B_SA_R329","27","B","Single","SA","R329",127197053,104760233.837838,0.823605825504761,"Alanine_1Bz",13910817,11457029.9187307,7.05907204720511,7.14335263740916
"33","33_B_SA_R420","28_B_SA_R329","28","B","Single","SA","R329",99537333,104760233.837838,1.0524717779794,"Alanine_1Bz",13136131,13825407.1493403,7.14067792985798,7.11846747079649
"34","34_B_SA_R420","29_FB_SA_R329","29","FB","Coculture","SA","R329",107156202,104760233.837838,0.977640415417465,"Alanine_1Bz",14809296,14478166.2934802,7.16071356054537,7.17053441364732
"35","35_F_B_SA_R420","30_FB_SA_R329","30","FB","Coculture","SA","R329",67120888,104760233.837838,1.56076948561583,"Alanine_1Bz",4353695,6795114.30567822,6.83219676672087,6.63885800108159
"36","36_F_B_SA_R420","31_FB_SA_R329","31","FB","Coculture","SA","R329",67491442,104760233.837838,1.55220026026171,"Alanine_1Bz",3373050,5235649.08787575,6.71897053086836,6.52802277894881
"37","37_F_B_SA_R420","32_B_SA_R420","32","B","Single","SA","R420",58921282,104760233.837838,1.77796935643454,"Alanine_1Bz",3208481,5704580.89870244,6.75622374339634,6.50629947182743
"38","38_B_SA_R431","33_B_SA_R420","33","B","Single","SA","R420",153948970,104760233.837838,0.680486747250325,"Alanine_1Bz",12767171,8687890.66537868,6.93891434680721,7.10609467524303
