"","MS_SAMPLE_ID","MS_SAMPLE_ID2","Sample","Microbes","Culture","Media","Strain","Mean_TIC","TOTAL_TIC","CORRECTION2","Metabolites","PEAK_AREA","PEAK_AREA_TIC","PEAK_AREA_TIC_Log","PEAK_AREA_Log"
"1","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"gluconic.acid",712078389,1083917209.99615,9.03499611189339,8.85252780548547
"2","02_B_SA_R09","2_B_SA_R09","2","B","Single","SA","R09",3640084733,7122443142.22807,1.95666960102823,"gluconic.acid",749598821,1466717226.0173,9.16634639263143,8.87482889480395
"3","03_B_SA_R09","3_B_SA_R09","3","B","Single","SA","R09",3950039929,7122443142.22807,1.80313193543621,"gluconic.acid",892651033,1609567584.80242,9.20670921717604,8.95068171189813
"4","04_F_B_SA_R09","4_FB_SA_R09","4","FB","Coculture","SA","R09",4379012556,7122443142.22807,1.62649525461376,"gluconic.acid",627012083,1019832177.58499,9.00852871063904,8.79727591009653
"5","05_F_B_SA_R09","5_FB_SA_R09","5","FB","Coculture","SA","R09",3031749469,7122443142.22807,2.34928486507738,"gluconic.acid",179259829,421132403.186058,8.62441865862163,8.2534829778039
"6","06_F_B_SA_R09","6_FB_SA_R09","6","FB","Coculture","SA","R09",3612441988,7122443142.22807,1.97164222038382,"gluconic.acid",711513296,1402849654.75805,9.14701112961164,8.85218302012723
"7","07_B_SA_R16","7_B_SA_R16","7","B","Single","SA","R16",6075437646,7122443142.22807,1.17233416870263,"gluconic.acid",1503957005,1763140185.22117,9.24628684392021,9.17723542085792
"8","08_B_SA_R16","8_B_SA_R16","8","B","Single","SA","R16",5155584423,7122443142.22807,1.38150063268357,"gluconic.acid",1272143309,1757466786.24767,9.24488712618935,9.10453603804365
"9","09_B_SA_R16","9_B_SA_R16","9","B","Single","SA","R16",6267591099,7122443142.22807,1.13639244004997,"gluconic.acid",1445454770,1642603873.06217,9.2155328425066,9.16000450662809
"10","10_F_B_SA_R16","10_FB_SA_R16","10","FB","Coculture","SA","R16",5063109609,7122443142.22807,1.40673295509295,"gluconic.acid",990088940,1392790740.37104,9.14388587081812,8.99567420915944
"11","100_Media_C_SA_Media_C","100_MediaC_SA_Media","100","MediaC","Control","SA","Media",15797741936,7122443142.22807,0.450851974357006,"gluconic.acid",1789750023,806912331.475047,8.90682635253513,9.25279237667097
"12","101_Media_C_SA_Media_C","101_MediaC_SA_Media","101","MediaC","Control","SA","Media",15637888595,7122443142.22807,0.455460665227234,"gluconic.acid",1857320404,845936386.745954,8.92733770591853,9.2688868297959
"13","102_Media_C_SA_Media_C","102_MediaC_SA_Media","102","MediaC","Control","SA","Media",15002740090,7122443142.22807,0.474742820278244,"gluconic.acid",2409390558,1143840868.65669,9.05836560953449,9.38190720408145
"14","103_Media_C_SA_Media_C","103_MediaC_SA_Media","103","MediaC","Control","SA","Media",16549281234,7122443142.22807,0.430377793544002,"gluconic.acid",2656202972,1143170774.29438,9.05811111297944,9.42426125829069
"15","104_Media_C_SA_Media_C","104_MediaC_SA_Media","104","MediaC","Control","SA","Media",15268450133,7122443142.22807,0.466481082243848,"gluconic.acid",1617758283,754653634.66279,8.87774766809307,9.20891363210851
"16","11_F_B_SA_R16","11_FB_SA_R16","11","FB","Coculture","SA","R16",4196891282,7122443142.22807,1.69707592207009,"gluconic.acid",1142004129,1938067710.23052,9.28736894591691,9.05766767413634
"17","12_F_B_SA_R16","12_FB_SA_R16","12","FB","Coculture","SA","R16",3969468737,7122443142.22807,1.79430639567425,"gluconic.acid",1062829915,1907042513.99841,9.28036037494905,9.02646376980353
"18","13_B_SA_R147","13_B_SA_R147","13","B","Single","SA","R147",19998982952,7122443142.22807,0.356140267698753,"gluconic.acid",1886987121,672032098.417039,8.82739001685216,9.27576893604319
"19","14_B_SA_R147","14_B_SA_R147","14","B","Single","SA","R147",10863711266,7122443142.22807,0.655617860953197,"gluconic.acid",1431284307,938375555.771219,8.97237668609389,9.15572590957897
