"","MS_SAMPLE_ID3","MS_SAMPLE_ID","MS_SAMPLE_ID2.x","Sample","Microbes","Culture","Media","Strain","Mean_TIC","TOTAL_TIC","CORRECTION2","Metabolites.x","PEAK_AREA","PEAK_AREA_TIC","PEAK_AREA_TIC_Log","PEAK_AREA_Log","MS_SAMPLE_ID2.y","Metabolites.y","TIC_Log_Scaled","MS_SAMPLE_ID2","Metabolites","Log_Scaled","Class","Sample_ID_F"
"1","1_B_SA_R09 gluconic.acid","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"gluconic.acid",712078389,1083917209.99615,9.03499611189339,8.85252780548547,"1_B_SA_R09","gluconic.acid",0.463813174850334,"1_B_SA_R09","gluconic.acid",0.234721506062725,"TCA Glycolysis","1_B_Single_SA_R09"
"2","1_B_SA_R09 glucose.Unk_hexose","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"glucose.Unk_hexose",1829402772,2784695026.86376,9.44477763922155,9.26230933281363,"1_B_SA_R09","glucose.Unk_hexose",0.376193337061436,"1_B_SA_R09","glucose.Unk_hexose",0.212745782950201,"TCA Glycolysis","1_B_Single_SA_R09"
"3","1_B_SA_R09 glyceric.acid","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"glyceric.acid",193201897,294089617.65613,8.46847969273474,8.28601138632682,"1_B_SA_R09","glyceric.acid",-0.750115830429197,"1_B_SA_R09","glyceric.acid",-0.707912870012603,"TCA Glycolysis","1_B_Single_SA_R09"
"4","1_B_SA_R09 glycerol.3.phosphate","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"glycerol.3.phosphate",8954575,13630547.0024611,7.13451328469628,6.95204497828836,"1_B_SA_R09","glycerol.3.phosphate",0.124729590029105,"1_B_SA_R09","glycerol.3.phosphate",-0.0269378787182498,"TCA Glycolysis","1_B_Single_SA_R09"
"5","1_B_SA_R09 isocitric.acid","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"isocitric.acid",758675284,1154846446.44414,9.06252424232745,8.88005593591953,"1_B_SA_R09","isocitric.acid",NA,"1_B_SA_R09","isocitric.acid",0.258408918716269,"TCA Glycolysis","1_B_Single_SA_R09"
"6","1_B_SA_R09 lactic.acid","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"lactic.acid",246900417,375828862.770789,8.57499012983781,8.39252182342989,"1_B_SA_R09","lactic.acid",-0.0529361481841528,"1_B_SA_R09","lactic.acid",-0.236587637694529,"TCA Glycolysis","1_B_Single_SA_R09"
"7","1_B_SA_R09 malic.acid","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"malic.acid",533400801,811936321.844519,8.90952196993579,8.72705366352787,"1_B_SA_R09","malic.acid",-0.298742740693148,"1_B_SA_R09","malic.acid",-0.355103425593502,"TCA Glycolysis","1_B_Single_SA_R09"
"8","1_B_SA_R09 maltose_sucrose","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"maltose_sucrose",45339016,69014508.0736198,7.83894039673729,7.65647209032937,"1_B_SA_R09","maltose_sucrose",0.876241809475616,"1_B_SA_R09","maltose_sucrose",0.711354103405001,"TCA Glycolysis","1_B_Single_SA_R09"
"9","1_B_SA_R09 mannitol_sorbitol","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"mannitol_sorbitol",13220769,20124496.5018642,7.30372502348972,7.1212567170818,"1_B_SA_R09","mannitol_sorbitol",0.636083737627978,"1_B_SA_R09","mannitol_sorbitol",0.435121802886666,"TCA Glycolysis","1_B_Single_SA_R09"
"10","1_B_SA_R09 pyruvic.acid","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"pyruvic.acid",118078546,179737750.952475,8.25463930308823,8.07217099668032,"1_B_SA_R09","pyruvic.acid",-0.229827078901805,"1_B_SA_R09","pyruvic.acid",-0.409817882217386,"TCA Glycolysis","1_B_Single_SA_R09"
"11","1_B_SA_R09 succinic.acid","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"succinic.acid",172118063,261996057.623511,8.41829475633793,8.23582644993001,"1_B_SA_R09","succinic.acid",-0.390566828477527,"1_B_SA_R09","succinic.acid",-0.431398592753576,"TCA Glycolysis","1_B_Single_SA_R09"
"12","1_B_SA_R09 X3OMethyl_Glucose","01_B_SA_R09","1_B_SA_R09","1","B","Single","SA","R09",4679082306,7122443142.22807,1.52218804381683,"X3OMethyl_Glucose",47711777,72626296.4986547,7.86109389833726,7.67862559192934,"1_B_SA_R09","X3OMethyl_Glucose",NA,"1_B_SA_R09","X3OMethyl_Glucose",0.223486157697096,"TCA Glycolysis","1_B_Single_SA_R09"
"13","10_FB_SA_R16 gluconic.acid","10_F_B_SA_R16","10_FB_SA_R16","10","FB","Coculture","SA","R16",5063109609,7122443142.22807,1.40673295509295,"gluconic.acid",990088940,1392790740.37104,9.14388587081812,8.99567420915944,"10_FB_SA_R16","gluconic.acid",0.658026484723175,"10_FB_SA_R16","gluconic.acid",0.441650947269957,"TCA Glycolysis","10_FB_Coculture_SA_R16"
"14","10_FB_SA_R16 glucose.Unk_hexose","10_F_B_SA_R16","10_FB_SA_R16","10","FB","Coculture","SA","R16",5063109609,7122443142.22807,1.40673295509295,"glucose.Unk_hexose",1628449885,2290794118.94682,9.35998605949794,9.21177439783927,"10_FB_SA_R16","glucose.Unk_hexose",0.239903125172498,"10_FB_SA_R16","glucose.Unk_hexose",0.133908266573801,"TCA Glycolysis","10_FB_Coculture_SA_R16"
