"","Date","Numero_sample","BIO_SAMPLE_ID","BIO_SAMPLE_ID3","BIO_SAMPLE_ID4","Bio.rep","Time_point_WRONG","Time_point","Time_point2","Culture","all_bio_cat_factor","TREATMENT","TREATMENT2","ORGANISM","ORGANISM2","TREATMENT3","CORRECTION2","Units","Filtered","Metabolites","PEAK_AREA_TIC","Class","PEAK_AREA","PEAK_AREA_TIC_Log","PEAK_AREA_Log"
"1","28.11.23","1","01_F.B","45258_01_F.B_24h_Peat_B.1","45258_01_F.B_24h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_)","B.1","24h","24h",24,"Coculture","Peat.1_F.B_24h_P","Peat.1","Peat","F.B","Fungi.Bacteria",")",0.968765576,"AREA / TIC","IN","Alanine_1Bz",3768227.414,"Amino_Acids",3650529.0012227,6.5761371047538,6.56235580299485
"2","28.11.23","1","01_F.B","45258_01_F.B_62h_Peat_B.1","45258_01_F.B_62h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P","B.1","62h","62h",62,"Coculture","Peat.1_F.B_62h_P","Peat.1","Peat","F.B","Fungi.Bacteria","P",0.913784963,"AREA / TIC","IN","Alanine_1Bz",1840531.491,"Amino_Acids",1681850.00040377,6.26494325250832,6.22578725965342
"3","28.11.23","2","02_F.B","45258_02_F.B_24h_Peat_B.1","45258_02_F.B_24h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P","B.1","24h","24h",24,"Coculture","Peat.2_F.B_24h_P","Peat.2","Peat","F.B","Fungi.Bacteria","P",1.118902647,"AREA / TIC","IN","Alanine_1Bz",4070901.084,"Amino_Acids",4554941.99856277,6.60969054988741,6.65848285115215
"4","28.11.23","2","02_F.B","45258_02_F.B_62h_Peat_B.1","45258_02_F.B_62h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P","B.1","62h","62h",62,"Coculture","Peat.2_F.B_62h_P","Peat.2","Peat","F.B","Fungi.Bacteria","P",0.706292359,"AREA / TIC","IN","Alanine_1Bz",1775148.753,"Amino_Acids",1253774.00033228,6.2492347517011,6.09821925957751
"5","28.11.23","3","03_B.F","45258_03_B.F_24h_Peat_B.1","45258_03_B.F_24h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P","B.1","24h","24h",24,"Coculture","Peat.1_B.F_24h_P","Peat.1","Peat","B.F","Bacteria.Fungi","P",1.362111082,"AREA / TIC","IN","Alanine_1Bz",3131233.61,"Amino_Acids",4265088.00051187,6.49571546996416,6.62992799628723
"6","28.11.23","3","03_B.F","45258_03_B.F_62h_Peat_B.1","45258_03_B.F_62h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P","B.1","62h","62h",62,"Coculture","Peat.1_B.F_62h_P","Peat.1","Peat","B.F","Bacteria.Fungi","P",0.406821239,"AREA / TIC","IN","Alanine_1Bz",3356260.365,"Amino_Acids",1365398.00009589,6.52585564425938,6.1352592624032
"7","28.11.23","4","04_B.F","45258_04_B.F_24h_Peat_B.1","45258_04_B.F_24h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P","B.1","24h","24h",24,"Coculture","Peat.2_B.F_24h_P","Peat.2","Peat","B.F","Bacteria.Fungi","P",1.065273051,"AREA / TIC","IN","Alanine_1Bz",3056697.996,"Amino_Acids",3256218.0001845,6.48525253223286,6.5127134727245
"8","28.11.23","4","04_B.F","45258_04_B.F_62h_Peat_B.1","45258_04_B.F_62h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P","B.1","62h","62h",62,"Coculture","Peat.2_B.F_62h_P","Peat.2","Peat","B.F","Bacteria.Fungi","P",0.522331031,"AREA / TIC","IN","Alanine_1Bz",2346640.207,"Amino_Acids",1225722.99870836,6.37044650753949,6.08839233500725
"9","28.11.23","5","05_X.B","45258_05_X.B_24h_Peat_B.1","45258_05_X.B_24h_Peat_B.1_Single_X.B_Media.Bacteria_P","B.1","24h","24h",24,"Single","Peat.1_X.B_24h_P","Peat.1","Peat","X.B","Media.Bacteria","P",0.753931333,"AREA / TIC","IN","Alanine_1Bz",7706575.85,"Amino_Acids",5810229.00345611,6.88686145719887,6.76419324994237
"10","28.11.23","5","05_X.B","45258_05_X.B_62h_Peat_B.1","45258_05_X.B_62h_Peat_B.1_Single_X.B_Media.Bacteria_P","B.1","62h","62h",62,"Single","Peat.1_X.B_62h_P","Peat.1","Peat","X.B","Media.Bacteria","P",0.273027966,"AREA / TIC","IN","Alanine_1Bz",1682930.166,"Amino_Acids",459487.000143022,6.22606609509045,5.66227322878847
"11","28.11.23","6","06_X.B","45258_06_X.B_24h_Peat_B.1","45258_06_X.B_24h_Peat_B.1_Single_X.B_Media.Bacteria_P","B.1","24h","24h",24,"Single","Peat.2_X.B_24h_P","Peat.2","Peat","X.B","Media.Bacteria","P",0.975119366,"AREA / TIC","IN","Alanine_1Bz",4367621.186,"Amino_Acids",4258952.00182049,6.64024496395398,6.62930274562389
"12","28.11.23","6","06_X.B","45258_06_X.B_62h_Peat_B.1","45258_06_X.B_62h_Peat_B.1_Single_X.B_Media.Bacteria_P","B.1","62h","62h",62,"Single","Peat.2_X.B_62h_P","Peat.2","Peat","X.B","Media.Bacteria","P",0.567795526,"AREA / TIC","IN","Alanine_1Bz",1371756.141,"Amino_Acids",778876.999622825,6.13727691309735,5.89146887923511
"13","28.11.23","7","07_X.F","45258_07_X.F_24h_Peat_B.1","45258_07_X.F_24h_Peat_B.1_Single_X.F_Media.Fungi_P","B.1","24h","24h",24,"Single","Peat.1_X.F_24h_P","Peat.1","Peat","X.F","Media.Fungi","P",2.75495503,"AREA / TIC","OUT","Alanine_1Bz",4063703.356,"Amino_Acids",11195320.0010401,6.60892199761386,7.04903651173369
"14","28.11.23","7","07_X.F","45258_07_X.F_62h_Peat_B.1","45258_07_X.F_62h_Peat_B.1_Single_X.F_Media.Fungi_P","B.1","62h","62h",62,"Single","Peat.1_X.F_62h_P","Peat.1","Peat","X.F","Media.Fungi","P",1.242494383,"AREA / TIC","IN","Alanine_1Bz",2234080.924,"Amino_Acids",2775832.99923745,6.3490989002971,6.4433933343724
"15","28.11.23","8","08_X.F","45258_08_X.F_24h_Peat_B.1","45258_08_X.F_24h_Peat_B.1_Single_X.F_Media.Fungi_P","B.1","24h","24h",24,"Single","Peat.2_X.F_24h_P","Peat.2","Peat","X.F","Media.Fungi","P",4.254104768,"AREA / TIC","OUT","Alanine_1Bz",3318710.697,"Amino_Acids",14118142.9997203,6.52096939517068,7.14977757646
"16","28.11.23","8","08_X.F","45258_08_X.F_62h_Peat_B.1","45258_08_X.F_62h_Peat_B.1_Single_X.F_Media.Fungi_P","B.1","62h","62h",62,"Single","Peat.2_X.F_62h_P","Peat.2","Peat","X.F","Media.Fungi","P",1.672255919,"AREA / TIC","IN","Alanine_1Bz",2174392.065,"Amino_Acids",3636140.00092288,6.33733785452225,6.56064059634799
"17","28.11.23","9","09_X.BF","45258_09_X.BF_24h_Peat_B.1","45258_09_X.BF_24h_Peat_B.1_Coculture_X.BF_Media.BacteriaFungi_P","B.1","24h","24h",24,"Coculture","Peat.1_X.BF_24h_P","Peat.1","Peat","X.BF","Media.BacteriaFungi","P",0.877004248,"AREA / TIC","IN","Alanine_1Bz",5982164.865,"Amino_Acids",5246383.99884135,6.7768583777647,6.71986007475501
"18","28.11.23","10","10_X.BF","45258_10_X.BF_24h_Peat_B.1","45258_10_X.BF_24h_Peat_B.1_Coculture_X.BF_Media.BacteriaFungi_P","B.1","24h","24h",24,"Coculture","Peat.2_X.BF_24h_P","Peat.2","Peat","X.BF","Media.BacteriaFungi","P",1.130054615,"AREA / TIC","IN","Alanine_1Bz",3857183.486,"Amino_Acids",4358827.99925609,6.58627029872135,6.63936973195694
"19","28.11.23","10","10_X.BF","45258_10_X.BF_62h_Peat_B.1","45258_10_X.BF_62h_Peat_B.1_Coculture_X.BF_Media.BacteriaFungi_P","B.1","62h","62h",62,"Coculture","Peat.2_X.BF_62h_P","Peat.2","Peat","X.BF","Media.BacteriaFungi","P",0.706967578,"AREA / TIC","IN","Alanine_1Bz",1766223.855,"Amino_Acids",1248663.00097517,6.24704574614422,6.09644524336607
"20","28.11.23","12","12_X.X","45258_12_X.X_24h_Peat_B.1","45258_12_X.X_24h_Peat_B.1_Media_X.X_Media.Media_P","B.1","24h","24h",24,"Media","Peat.2_X.X_24h_P","Peat.2","Peat","X.X","Media.Media","P",3.384427186,"AREA / TIC","OUT","Alanine_1Bz",3533834.632,"Amino_Acids",11960005.9993691,6.54824622256456,7.07773139750291
"21","28.11.23","12","12_X.X","45258_12_X.X_62h_Peat_B.1","45258_12_X.X_62h_Peat_B.1_Media_X.X_Media.Media_P","B.1","62h","62h",62,"Media","Peat.2_X.X_62h_P","Peat.2","Peat","X.X","Media.Media","P",3.481819595,"AREA / TIC","OUT","Alanine_1Bz",3582165.778,"Amino_Acids",12472454.9983788,6.55414568056512,7.09595194564461
"22","28.11.23","13","13_F.B","45258_13_F.B_24h_Peat_B.2","45258_13_F.B_24h_Peat_B.2_Coculture_F.B_Fungi.Bacteria_P","B.2","24h","24h",24,"Coculture","Peat.2_F.B_24h_P","Peat.2","Peat","F.B","Fungi.Bacteria","P",1.019628863,"AREA / TIC","IN","Alanine_1Bz",5642020.55,"Amino_Acids",5752766.99841913,6.7514346636583,6.75987678435923
"23","28.11.23","13","13_F.B","45258_13_F.B_62h_Peat_B.2","45258_13_F.B_62h_Peat_B.2_Coculture_F.B_Fungi.Bacteria_P","B.2","62h","62h",62,"Coculture","Peat.2_F.B_62h_P","Peat.2","Peat","F.B","Fungi.Bacteria","P",0.326367211,"AREA / TIC","IN","Alanine_1Bz",3494747.521,"Amino_Acids",1140571.00157793,6.54341580549021,6.05712232567905
