"","Date","Numero_sample","BIO_SAMPLE_ID","BIO_SAMPLE_ID3","BIO_SAMPLE_ID4","Bio.rep","Time_point_WRONG","Time_point","Time_point2","Culture","all_bio_cat_factor","TREATMENT","TREATMENT2","ORGANISM","ORGANISM2","TREATMENT3","CORRECTION2","Units","Filtered","Metabolites","PEAK_AREA_TIC","Class","PEAK_AREA","PEAK_AREA_TIC_Log","PEAK_AREA_Log"
"1","28.11.23","1","01_F.B","45258_01_F.B_24h_Peat_B.1","45258_01_F.B_24h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P","B.1","24h","24h",24,"Coculture","Peat.B1_F.B_24h_P","Peat.B1","Peat","F.B","Fungi.Bacteria","P",2.530641611,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",104300.8219,"TCA_Glycolysis",263947.99996164,5.01828773072019,5.42151837552844
"2","28.11.23","1","01_F.B","45258_01_F.B_62h_Peat_B.1","45258_01_F.B_62h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P","B.1","62h","62h",62,"Coculture","Peat.B1_F.B_62h_P","Peat.B1","Peat","F.B","Fungi.Bacteria","P",0.723731756,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",31026.68885,"TCA_Glycolysis",22455.0000042761,4.49173543040521,4.35131305948144
"3","28.11.23","2","02_F.B","45258_02_F.B_24h_Peat_B.1","45258_02_F.B_24h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P","B.1","24h","24h",24,"Coculture","Peat.B2_F.B_24h_P","Peat.B2","Peat","F.B","Fungi.Bacteria","P",1.068073347,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",207740.4147,"TCA_Glycolysis",221882.000035797,5.31752099424227,5.34612207193816
"4","28.11.23","2","02_F.B","45258_02_F.B_62h_Peat_B.1","45258_02_F.B_62h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P","B.1","62h","62h",62,"Coculture","Peat.B2_F.B_62h_P","Peat.B2","Peat","F.B","Fungi.Bacteria","P",0.54003372,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",132078.7894,"TCA_Glycolysis",71326.9999727786,5.12083307964216,4.85325395789609
"5","28.11.23","3","03_B.F","45258_03_B.F_24h_Peat_B.1","45258_03_B.F_24h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P","B.1","24h","24h",24,"Coculture","Peat.B1_B.F_24h_P","Peat.B1","Peat","B.F","Bacteria.Fungi","P",0.939169738,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",324566.4631,"TCA_Glycolysis",304823.000113214,5.51130364289913,5.4840477331577
"6","28.11.23","3","03_B.F","45258_03_B.F_62h_Peat_B.1","45258_03_B.F_62h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P","B.1","62h","62h",62,"Coculture","Peat.B1_B.F_62h_P","Peat.B1","Peat","B.F","Bacteria.Fungi","P",0.644450775,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",61230.43297,"TCA_Glycolysis",39459.9999811021,4.78696733041102,4.59615708070818
"7","28.11.23","4","04_B.F","45258_04_B.F_24h_Peat_B.1","45258_04_B.F_24h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P","B.1","24h","24h",24,"Coculture","Peat.B2_B.F_24h_P","Peat.B2","Peat","B.F","Bacteria.Fungi","P",0.999484373,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",172328.8574,"TCA_Glycolysis",172239.999988245,5.23635800849966,5.23613401678579
"8","28.11.23","4","04_B.F","45258_04_B.F_62h_Peat_B.1","45258_04_B.F_62h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P","B.1","62h","62h",62,"Coculture","Peat.B2_B.F_62h_P","Peat.B2","Peat","B.F","Bacteria.Fungi","P",0.468201817,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",52133.50122,"TCA_Glycolysis",24408.9999977757,4.71711689257454,4.38754998735066
"9","28.11.23","5","05_X.B","45258_05_X.B_24h_Peat_B.1","45258_05_X.B_24h_Peat_B.1_Single_X.B_Media.Bacteria_P","B.1","24h","24h",24,"Single","Peat.B1_X.B_24h_P","Peat.B1","Peat","X.B","Media.Bacteria","P",2.512834174,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",154964.4637,"TCA_Glycolysis",389400.000140942,5.19023211759979,5.5903959473412
"10","28.11.23","5","05_X.B","45258_05_X.B_62h_Peat_B.1","45258_05_X.B_62h_Peat_B.1_Single_X.B_Media.Bacteria_P","B.1","62h","62h",62,"Single","Peat.B1_X.B_62h_P","Peat.B1","Peat","X.B","Media.Bacteria","P",0.657159061,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",54276.05297,"TCA_Glycolysis",35668.0000045515,4.73460825763774,4.55227875802524
"11","28.11.23","6","06_X.B","45258_06_X.B_24h_Peat_B.1","45258_06_X.B_24h_Peat_B.1_Single_X.B_Media.Bacteria_P","B.1","24h","24h",24,"Single","Peat.B2_X.B_24h_P","Peat.B2","Peat","X.B","Media.Bacteria","P",0.901910918,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",168640.8236,"TCA_Glycolysis",152099.000025352,5.22696271452428,5.18212635879396
"12","28.11.23","6","06_X.B","45258_06_X.B_62h_Peat_B.1","45258_06_X.B_62h_Peat_B.1_Single_X.B_Media.Bacteria_P","B.1","62h","62h",62,"Single","Peat.B2_X.B_62h_P","Peat.B2","Peat","X.B","Media.Bacteria","P",0.479528564,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",116466.4718,"TCA_Glycolysis",55848.9999764005,5.0662009192851,4.74701540111108
"13","28.11.23","7","07_X.F","45258_07_X.F_24h_Peat_B.1","45258_07_X.F_24h_Peat_B.1_Single_X.F_Media.Fungi_P","B.1","24h","24h",24,"Single","Peat.B1_X.F_24h_P","Peat.B1","Peat","X.F","Media.Fungi","P",5.014488402,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",152787.2713,"TCA_Glycolysis",766149.999907077,5.18408717469494,5.88431380586553
"14","28.11.23","7","07_X.F","45258_07_X.F_62h_Peat_B.1","45258_07_X.F_62h_Peat_B.1_Single_X.F_Media.Fungi_P","B.1","62h","62h",62,"Single","Peat.B1_X.F_62h_P","Peat.B1","Peat","X.F","Media.Fungi","P",1.60111817,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",320785.8168,"TCA_Glycolysis",513615.999956771,5.50621515817302,5.71063854423662
"15","28.11.23","8","08_X.F","45258_08_X.F_24h_Peat_B.1","45258_08_X.F_24h_Peat_B.1_Single_X.F_Media.Fungi_P","B.1","24h","24h",24,"Single","Peat.B2_X.F_24h_P","Peat.B2","Peat","X.F","Media.Fungi","P",2.019025997,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",211502.9725,"TCA_Glycolysis",427029.999920276,5.32531647540504,5.630458386365
"16","28.11.23","8","08_X.F","45258_08_X.F_62h_Peat_B.1","45258_08_X.F_62h_Peat_B.1_Single_X.F_Media.Fungi_P","B.1","62h","62h",62,"Single","Peat.B2_X.F_62h_P","Peat.B2","Peat","X.F","Media.Fungi","P",1.409102724,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",381240.4808,"TCA_Glycolysis",537206.99999435,5.58119900858397,5.73014166304194
"17","28.11.23","9","09_X.BF","45258_09_X.BF_24h_Peat_B.1","45258_09_X.BF_24h_Peat_B.1_Coculture_X.BF_Media.BacteriaFungi_P","B.1","24h","24h",24,"Coculture","Peat.B1_X.BF_24h_P","Peat.B1","Peat","X.BF","Media.BacteriaFungi","P",2.188344076,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",133817.1649,"TCA_Glycolysis",292838.00007603,5.12651182451719,5.46662743219686
"18","28.11.23","10","10_X.BF","45258_10_X.BF_24h_Peat_B.1","45258_10_X.BF_24h_Peat_B.1_Coculture_X.BF_Media.BacteriaFungi_P","B.1","24h","24h",24,"Coculture","Peat.B2_X.BF_24h_P","Peat.B2","Peat","X.BF","Media.BacteriaFungi","P",0.791709727,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",132414.6925,"TCA_Glycolysis",104834.000049964,5.12193617632466,5.02050215706893
"19","28.11.23","10","10_X.BF","45258_10_X.BF_62h_Peat_B.1","45258_10_X.BF_62h_Peat_B.1_Coculture_X.BF_Media.BacteriaFungi_P","B.1","62h","62h",62,"Coculture","Peat.B2_X.BF_62h_P","Peat.B2","Peat","X.BF","Media.BacteriaFungi","P",0.432402834,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",96470.22801,"TCA_Glycolysis",41713.9999881502,4.98439330499226,4.62028183668086
"20","28.11.23","12","12_X.X","45258_12_X.X_24h_Peat_B.1","45258_12_X.X_24h_Peat_B.1_Media_X.X_Media.Media_P","B.1","24h","24h",24,"Media","Peat.B2_X.X_24h_P","Peat.B2","Peat","X.X","Media.Media","P",4.715339631,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",150430.9457,"TCA_Glycolysis",709332.999988019,5.17733718575233,5.85085016481021
"21","28.11.23","12","12_X.X","45258_12_X.X_62h_Peat_B.1","45258_12_X.X_62h_Peat_B.1_Media_X.X_Media.Media_P","B.1","62h","62h",62,"Media","Peat.B2_X.X_62h_P","Peat.B2","Peat","X.X","Media.Media","P",1.721495198,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",266338.2393,"TCA_Glycolysis",458499.999998725,5.42543352439894,5.66133934000483
"22","28.11.23","13","13_F.B","45258_13_F.B_24h_Peat_B.2","45258_13_F.B_24h_Peat_B.2_Coculture_F.B_Fungi.Bacteria_P","B.2","24h","24h",24,"Coculture","Peat.B2_F.B_24h_P","Peat.B2","Peat","F.B","Fungi.Bacteria","P",2.043423846,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",145025.7129,"TCA_Glycolysis",296349.00002301,5.16144500899759,5.47180346612803
"23","28.11.23","13","13_F.B","45258_13_F.B_62h_Peat_B.2","45258_13_F.B_62h_Peat_B.2_Coculture_F.B_Fungi.Bacteria_P","B.2","62h","62h",62,"Coculture","Peat.B2_F.B_62h_P","Peat.B2","Peat","F.B","Fungi.Bacteria","P",0.60339937,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",37280.44996,"TCA_Glycolysis",22495.0000191805,4.57148114547287,4.35208599787189
"24","28.11.23","14","14_F.B","45258_14_F.B_24h_Peat_B.2","45258_14_F.B_24h_Peat_B.2_Coculture_F.B_Fungi.Bacteria_P","B.2","24h","24h",24,"Coculture","Peat.B3_F.B_24h_P","Peat.B3","Peat","F.B","Fungi.Bacteria","P",0.893901167,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",241967.4657,"TCA_Glycolysis",216294.999965262,5.38375697582826,5.33504648008359
"25","28.11.23","14","14_F.B","45258_14_F.B_62h_Peat_B.2","45258_14_F.B_62h_Peat_B.2_Coculture_F.B_Fungi.Bacteria_P","B.2","62h","62h",62,"Coculture","Peat.B3_F.B_62h_P","Peat.B3","Peat","F.B","Fungi.Bacteria","P",0.446150667,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",48530.69059,"TCA_Glycolysis",21651.9999766991,4.68601647135428,4.33549801795166
"26","28.11.23","15","15_B.F","45258_15_B.F_24h_Peat_B.2","45258_15_B.F_24h_Peat_B.2_Coculture_B.F_Bacteria.Fungi_P","B.2","24h","24h",24,"Coculture","Peat.B2_B.F_24h_P","Peat.B2","Peat","B.F","Bacteria.Fungi","P",0.884514549,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",317429.4874,"TCA_Glycolysis",280770.999886912,5.50164726778832,5.44835224861625
"27","28.11.23","15","15_B.F","45258_15_B.F_62h_Peat_B.2","45258_15_B.F_62h_Peat_B.2_Coculture_B.F_Bacteria.Fungi_P","B.2","62h","62h",62,"Coculture","Peat.B2_B.F_62h_P","Peat.B2","Peat","B.F","Bacteria.Fungi","P",0.567205161,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",33446.45169,"TCA_Glycolysis",18971.0000157052,4.52435005055847,4.27809022439714
"28","28.11.23","16","16_B.F","45258_16_B.F_24h_Peat_B.2","45258_16_B.F_24h_Peat_B.2_Coculture_B.F_Bacteria.Fungi_P","B.2","24h","24h",24,"Coculture","Peat.B3_B.F_24h_P","Peat.B3","Peat","B.F","Bacteria.Fungi","P",1.293943447,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",216361.0788,"TCA_Glycolysis",279959.000099111,5.33517913821521,5.44709443371902
"29","28.11.23","16","16_B.F","45258_16_B.F_62h_Peat_B.2","45258_16_B.F_62h_Peat_B.2_Coculture_B.F_Bacteria.Fungi_P","B.2","62h","62h",62,"Coculture","Peat.B3_B.F_62h_P","Peat.B3","Peat","B.F","Bacteria.Fungi","P",0.400771516,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",31476.78786,"TCA_Glycolysis",12614.9999894626,4.49799040710971,4.10088725449082
"30","28.11.23","17","17_X.B","45258_17_X.B_24h_Peat_B.2","45258_17_X.B_24h_Peat_B.2_Single_X.B_Media.Bacteria_P","B.2","24h","24h",24,"Single","Peat.B2_X.B_24h_P","Peat.B2","Peat","X.B","Media.Bacteria","P",2.016860014,"AREA / TIC","OUT","X2.phosphoglyceric.acid..2PG..and..3PG.",154292.3147,"TCA_Glycolysis",311185.999985934,5.18834429439429,5.49302005018904
"31","28.11.23","17","17_X.B","45258_17_X.B_62h_Peat_B.2","45258_17_X.B_62h_Peat_B.2_Single_X.B_Media.Bacteria_P","B.2","62h","62h",62,"Single","Peat.B2_X.B_62h_P","Peat.B2","Peat","X.B","Media.Bacteria","P",0.840583977,"AREA / TIC","IN","X2.phosphoglyceric.acid..2PG..and..3PG.",69762.21482,"TCA_Glycolysis",58640.9999777239,4.8436202601819,4.76820136751821
