Date	Numero_sample	BIO_SAMPLE_ID	BIO_SAMPLE_ID3	BIO_SAMPLE_ID4	Bio.rep	Time_point_WRONG	Time_point	Time_point2	Culture	all_bio_cat_factor	TREATMENT	TREATMENT2	ORGANISM	ORGANISM2	TREATMENT3	CORRECTION2	Alanine_1Bz	Arginine_1Bz	Asparagine_1Bz	Aspartic Acid_1Bz	GABA_1Bz	Glutamic Acid_1Bz	Glutamine_1Bz	Glycine_1Bz	Histidine_1Bz	Isoleucine_1Bz	Leucine_1Bz	Lysine_2Bz	Ornithine_2Bz	Phenylalanine_1Bz	Proline_1Bz	Serine_1Bz	Threonine_1Bz	Tryptophane_1Bz	Tyrosine_2Bz	Valine_1Bz	Units
28.11.23	1	01_F.B	45258_01_F.B_24h_Peat_B.1	45258_01_F.B_24h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_)	B.1	24h	24h	24	Coculture	Peat.1_F.B_24h_P	Peat.1	Peat	F.B	Fungi.Bacteria	)	0.968765576	3768227.414	11268875.85	840788.5463	665328.1415	2025700.592	1770511.921	566058.5118	920246.3655	1864821.63	3140931.177	11700869.94	10016378.83	2129985.883	7207868.628	2693836.43	2102165.943	1353351.144	516197.1199	8756288.635	4435244.303	AREA / TIC
28.11.23	1	01_F.B	45258_01_F.B_62h_Peat_B.1	45258_01_F.B_62h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P	B.1	62h	62h	62	Coculture	Peat.1_F.B_62h_P	Peat.1	Peat	F.B	Fungi.Bacteria	P	0.913784963	1840531.491	15449141.29	608864.2543	164628.4477	1925634.664	2731440.22	342763.3554	307515.4565	1779584.986	2912050.546	8507457.789	20625657.86	1178069.287	5328064.258	3325534.041	762762.6064	1930248.441	530882.0124	2685385.621	4807460.375	AREA / TIC
28.11.23	2	02_F.B	45258_02_F.B_24h_Peat_B.1	45258_02_F.B_24h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P	B.1	24h	24h	24	Coculture	Peat.2_F.B_24h_P	Peat.2	Peat	F.B	Fungi.Bacteria	P	1.118902647	4070901.084	9282144.453	543227.779	557988.67	2354419.311	2961558.817	934823.9568	1111467.564	1288294.387	2549048.398	8839686.835	11720531.75	2316955.82	4866380.479	3788885.486	1277051.228	1947488.466	282155.0211	9131658.617	7919008.881	AREA / TIC
28.11.23	2	02_F.B	45258_02_F.B_62h_Peat_B.1	45258_02_F.B_62h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P	B.1	62h	62h	62	Coculture	Peat.2_F.B_62h_P	Peat.2	Peat	F.B	Fungi.Bacteria	P	0.706292359	1775148.753	16068270.97	687617.5199	303916.6393	2308044.226	3721685.457	512388.3836	588860.9651	3875672.682	1378063.897	3581615.982	16885540.18	4804584.048	2545976.858	3912144.831	1391105.238	1720191.342	266265.0922	8006133.622	3410450.319	AREA / TIC
28.11.23	3	03_B.F	45258_03_B.F_24h_Peat_B.1	45258_03_B.F_24h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P	B.1	24h	24h	24	Coculture	Peat.1_B.F_24h_P	Peat.1	Peat	B.F	Bacteria.Fungi	P	1.362111082	3131233.61	5989001.27	552543.0414	634009.9654	2214809.82	3037170.062	1070065.444	1032266.765	670762.4746	3542252.217	13889682.16	8669788.504	1517941.545	9564678.073	4780604.964	1182302.986	1808851.739	387413.3373	10006021.67	4062277.352	AREA / TIC
28.11.23	3	03_B.F	45258_03_B.F_62h_Peat_B.1	45258_03_B.F_62h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P	B.1	62h	62h	62	Coculture	Peat.1_B.F_62h_P	Peat.1	Peat	B.F	Bacteria.Fungi	P	0.406821239	3356260.365	24761666.88	841701.3843	487371.3096	4625220.661	6990532.272	854864.4138	551809.9315	1811252.534	805429.925	4338197.79	6792000.356	1050677.691	2940566.729	6250479.956	1039114.873	2500311.937	192526.8214	5836632.34	1717058.828	AREA / TIC
28.11.23	4	04_B.F	45258_04_B.F_24h_Peat_B.1	45258_04_B.F_24h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P	B.1	24h	24h	24	Coculture	Peat.2_B.F_24h_P	Peat.2	Peat	B.F	Bacteria.Fungi	P	1.065273051	3056697.996	8500501.342	518955.2101	553321.047	1942540.457	2570279.983	928608.8661	1135097.709	1121145.418	2929821.605	9302656.244	12221407.45	2231965.783	5094331.443	4100605	1186681.667	1786305.397	204758.7703	9461871.761	8896123.853	AREA / TIC
28.11.23	4	04_B.F	45258_04_B.F_62h_Peat_B.1	45258_04_B.F_62h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P	B.1	62h	62h	62	Coculture	Peat.2_B.F_62h_P	Peat.2	Peat	B.F	Bacteria.Fungi	P	0.522331031	2346640.207	17270543.88	745894.7995	393133.832	2619859.663	4994045.62	549572.9388	560581.2834	2930369.646	1378587.441	3405170.079	15357446.75	4588226.346	2089772.451	4076361.295	1103671.743	1814816.549	231426.0358	7328299.046	3959257.397	AREA / TIC
28.11.23	5	05_X.B	45258_05_X.B_24h_Peat_B.1	45258_05_X.B_24h_Peat_B.1_Single_X.B_Media.Bacteria_P	B.1	24h	24h	24	Single	Peat.1_X.B_24h_P	Peat.1	Peat	X.B	Media.Bacteria	P	0.753931333	7706575.85	14322838.88	841674.7953	739601.8389	4545305.192	4395611.187	1135728.1	2965236.89	2381080.242	817027.9883	3067803.26	4840207.38	3429816.335	2038106.036	8391740.37	2175467.352	2779200.054	140793.9893	6238711.401	4791149.862	AREA / TIC
28.11.23	5	05_X.B	45258_05_X.B_62h_Peat_B.1	45258_05_X.B_62h_Peat_B.1_Single_X.B_Media.Bacteria_P	B.1	62h	62h	62	Single	Peat.1_X.B_62h_P	Peat.1	Peat	X.B	Media.Bacteria	P	0.273027966	1682930.166	25617632.15	1028209.689	212564.3056	4774474.275	4355843.167	407357.5379	415569.1509	2381206.62	1070289.627	4183131.921	9517695.341	1124155.904	3040538.346	5973380.764		1132883.948	205616.2994	8264065.521	2356132.265	AREA / TIC
