Date	Numero_sample	BIO_SAMPLE_ID	BIO_SAMPLE_ID3	BIO_SAMPLE_ID4	Bio.rep	Time_point_WRONG	Time_point	Time_point2	Culture	all_bio_cat_factor	TREATMENT	TREATMENT2	ORGANISM	ORGANISM2	TREATMENT3	CORRECTION2	2-phosphoglyceric acid (2PG) and (3PG)	alpha-ketoglutaric acid	cis-aconitic acid	citric acid	fumaric acid	gluconic acid	glyceric acid	glycerol 3-phosphate	Hexose	isocitric acid	lactic acid	malic acid	maltose_sucrose	mannitol_sorbitol	pyruvic acid	succinic acid	Units
28.11.23	1	01_F.B	45258_01_F.B_24h_Peat_B.1	45258_01_F.B_24h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P	B.1	24h	24h	24	Coculture	Peat.B1_F.B_24h_P	Peat.B1	Peat	F.B	Fungi.Bacteria	P	2.530641611	104300.8219		1070926.83	3766564.162		125355344.9	23462841.1	598825.6074	77011680.4	23753527.06	6092622.096	18189463.41	2195934.412	726770.6307	5566392.308	2571521.772	AREA / TIC
28.11.23	1	01_F.B	45258_01_F.B_62h_Peat_B.1	45258_01_F.B_62h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P	B.1	62h	62h	62	Coculture	Peat.B1_F.B_62h_P	Peat.B1	Peat	F.B	Fungi.Bacteria	P	0.723731756	31026.68885		1308030.209	5171243.31		119521172.5	21231932.79	702329.2759	84954087.63	34518959.27	3906553.744	10585339.03	2460552.526	47785.66054	5194801.762	832901.1339	AREA / TIC
28.11.23	2	02_F.B	45258_02_F.B_24h_Peat_B.1	45258_02_F.B_24h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P	B.1	24h	24h	24	Coculture	Peat.B2_F.B_24h_P	Peat.B2	Peat	F.B	Fungi.Bacteria	P	1.068073347	207740.4147		1021598.379	4017779.315		127830305.3	24246261.81	913544.9385	70888797.31	23268186.66	7574135.262	20521699.25	2176636.096	167322.7785	5066768.135	2565939.884	AREA / TIC
28.11.23	2	02_F.B	45258_02_F.B_62h_Peat_B.1	45258_02_F.B_62h_Peat_B.1_Coculture_F.B_Fungi.Bacteria_P	B.1	62h	62h	62	Coculture	Peat.B2_F.B_62h_P	Peat.B2	Peat	F.B	Fungi.Bacteria	P	0.54003372	132078.7894		1447546.645	6273776.752		115493463.9	22472735.58	847691.5103	78115936.86	35901987.73	8168471.401	12845421.94	2594506.504	43789.85813	4885509.739	1243798.257	AREA / TIC
28.11.23	3	03_B.F	45258_03_B.F_24h_Peat_B.1	45258_03_B.F_24h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P	B.1	24h	24h	24	Coculture	Peat.B1_B.F_24h_P	Peat.B1	Peat	B.F	Bacteria.Fungi	P	0.939169738	324566.4631		1095465.451	3778279.748		124614736.1	23697455.43	1243080.94	68083647.11	23260909.21	7359901.754	24933512.08	2099709.904	287821.2416	5104500.079	4583130	AREA / TIC
28.11.23	3	03_B.F	45258_03_B.F_62h_Peat_B.1	45258_03_B.F_62h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P	B.1	62h	62h	62	Coculture	Peat.B1_B.F_62h_P	Peat.B1	Peat	B.F	Bacteria.Fungi	P	0.644450775	61230.43297		1624420.421	8471166.782		106556124.4	19613370.77	814166.1398	90300594.29	37923721.93	2881768.587	13399681.3	2491831.9	52635.51741	4574547.992	1701455.01	AREA / TIC
28.11.23	4	04_B.F	45258_04_B.F_24h_Peat_B.1	45258_04_B.F_24h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P	B.1	24h	24h	24	Coculture	Peat.B2_B.F_24h_P	Peat.B2	Peat	B.F	Bacteria.Fungi	P	0.999484373	172328.8574		984871.8266	5116963.445		126647740	24542568.81	1197465.446	68961520.43	23357427.72	6479046.772	21091980.6	2222511.987	203202.7769	5468129.516	4020957.314	AREA / TIC
28.11.23	4	04_B.F	45258_04_B.F_62h_Peat_B.1	45258_04_B.F_62h_Peat_B.1_Coculture_B.F_Bacteria.Fungi_P	B.1	62h	62h	62	Coculture	Peat.B2_B.F_62h_P	Peat.B2	Peat	B.F	Bacteria.Fungi	P	0.468201817	52133.50122		1728769.455	5606191.399		102057728.6	19536419.27	940711.8553	92240316.94	39673410.74	3791409.89	15770355.28	2655263.082	43039.13241	4515078.59	1855887.714	AREA / TIC
28.11.23	5	05_X.B	45258_05_X.B_24h_Peat_B.1	45258_05_X.B_24h_Peat_B.1_Single_X.B_Media.Bacteria_P	B.1	24h	24h	24	Single	Peat.B1_X.B_24h_P	Peat.B1	Peat	X.B	Media.Bacteria	P	2.512834174	154964.4637		1100517.507	3572959.209		126503979.6	23968999.08	657617.6086	71879014.1	23939073.11	6848945.776	20746999.76	2130565.581	592659.8801	5284554.046	3085865.785	AREA / TIC
28.11.23	5	05_X.B	45258_05_X.B_62h_Peat_B.1	45258_05_X.B_62h_Peat_B.1_Single_X.B_Media.Bacteria_P	B.1	62h	62h	62	Single	Peat.B1_X.B_62h_P	Peat.B1	Peat	X.B	Media.Bacteria	P	0.657159061	54276.05297		1640499.331	5819206.075		117107463.9	20418841.95	727762.9244	85572252.35	34977236.66	2994870.066	13367048.44	2403669.209	53452.8124	4075116.907	1255018.836	AREA / TIC
28.11.23	6	06_X.B	45258_06_X.B_24h_Peat_B.1	45258_06_X.B_24h_Peat_B.1_Single_X.B_Media.Bacteria_P	B.1	24h	24h	24	Single	Peat.B2_X.B_24h_P	Peat.B2	Peat	X.B	Media.Bacteria	P	0.901910918	168640.8236		1042621.817	6481389.552		131299171.2	21163621.17	937725.6481	70880588.9	26239459.5	4753838.672	18763819.87	2232711.635	119788.9923	4067000.329	2316337.41	AREA / TIC
28.11.23	6	06_X.B	45258_06_X.B_62h_Peat_B.1	45258_06_X.B_62h_Peat_B.1_Single_X.B_Media.Bacteria_P	B.1	62h	62h	62	Single	Peat.B2_X.B_62h_P	Peat.B2	Peat	X.B	Media.Bacteria	P	0.479528564	116466.4718		1826224.892	4819908.913		99129775.7	22861422.28	916675.3201	88718823.41	40217750.19	5457760.384	18470142.68	2530443.629	49442.31017	3860011.976	1491867.333	AREA / TIC
28.11.23	7	07_X.F	45258_07_X.F_24h_Peat_B.1	45258_07_X.F_24h_Peat_B.1_Single_X.F_Media.Fungi_P	B.1	24h	24h	24	Single	Peat.B1_X.F_24h_P	Peat.B1	Peat	X.F	Media.Fungi	P	5.014488402	152787.2713	365500.4964	887089.4982	3987234.668	506057.4074	77041524.09	27197496.35	2216446.845	36869998.13	15504420.94	10771572.82	72801028.89	972380.1531	470437.4227	6401157.292	34321583.22	AREA / TIC
28.11.23	7	07_X.F	45258_07_X.F_62h_Peat_B.1	45258_07_X.F_62h_Peat_B.1_Single_X.F_Media.Fungi_P	B.1	62h	62h	62	Single	Peat.B1_X.F_62h_P	Peat.B1	Peat	X.F	Media.Fungi	P	1.60111817	320785.8168	442856.7568	847832.4869	6499891.884	629368.9116	100121551.3	27950553.45	4711611.635	43539329.76	21999074.56	15009714.12	37587131.37	1318725.276	199295.0964	10831087.5	18457905.58	AREA / TIC
28.11.23	8	08_X.F	45258_08_X.F_24h_Peat_B.1	45258_08_X.F_24h_Peat_B.1_Single_X.F_Media.Fungi_P	B.1	24h	24h	24	Single	Peat.B2_X.F_24h_P	Peat.B2	Peat	X.F	Media.Fungi	P	2.019025997	211502.9725	547306.9695	732055.9526	5143780.225	692015.854	82838149.29	27298343.89	3084532.843	32981420.29	14672321.23	10620458.59	72995294.36	1002941.519	110976.778	4504920.2	33030694.54	AREA / TIC
28.11.23	8	08_X.F	45258_08_X.F_62h_Peat_B.1	45258_08_X.F_62h_Peat_B.1_Single_X.F_Media.Fungi_P	B.1	62h	62h	62	Single	Peat.B2_X.F_62h_P	Peat.B2	Peat	X.F	Media.Fungi	P	1.409102724	381240.4808	559781.758	949608.554	5417524.834	600476.4491	94749114.27	29706115.31	4696483.718	40077979.44	19241722.79	15154386.29	47650459.31	1128731.762	162115.931	7674365.976	22316608.62	AREA / TIC
28.11.23	9	09_X.BF	45258_09_X.BF_24h_Peat_B.1	45258_09_X.BF_24h_Peat_B.1_Coculture_X.BF_Media.BacteriaFungi_P	B.1	24h	24h	24	Coculture	Peat.B1_X.BF_24h_P	Peat.B1	Peat	X.BF	Media.BacteriaFungi	P	2.188344076	133817.1649		812866.2306	4159740.738		120275473.1	22734684.9	664104.8893	72841918.59	23952488.82	5097592.798	24126273.65	2007722.208	276513.6464	7897422.619	5486096.147	AREA / TIC
28.11.23	10	10_X.BF	45258_10_X.BF_24h_Peat_B.1	45258_10_X.BF_24h_Peat_B.1_Coculture_X.BF_Media.BacteriaFungi_P	B.1	24h	24h	24	Coculture	Peat.B2_X.BF_24h_P	Peat.B2	Peat	X.BF	Media.BacteriaFungi	P	0.791709727	132414.6925		968313.2264	4612539.01		131917543.1	20124221.62	840560.5961	72561817.86	26494421.23	4872444.873	18497070.96	2394056.73	70796.14927	3950373.342	3030142.132	AREA / TIC
28.11.23	10	10_X.BF	45258_10_X.BF_62h_Peat_B.1	45258_10_X.BF_62h_Peat_B.1_Coculture_X.BF_Media.BacteriaFungi_P	B.1	62h	62h	62	Coculture	Peat.B2_X.BF_62h_P	Peat.B2	Peat	X.BF	Media.BacteriaFungi	P	0.432402834	96470.22801		1926964.706	6952142.222		96225708.34	21274654.73	979107.8286	91748563.77	42729768.5	3922349.407	17067376.57	2768809.327	34895.70097	3438448.786	1301455.392	AREA / TIC
28.11.23	12	12_X.X	45258_12_X.X_24h_Peat_B.1	45258_12_X.X_24h_Peat_B.1_Media_X.X_Media.Media_P	B.1	24h	24h	24	Media	Peat.B2_X.X_24h_P	Peat.B2	Peat	X.X	Media.Media	P	4.715339631	150430.9457	378194.6031	667274.7345	4851353.623	579477.4532	77409166.38	27505649.47	2315528.86	35740671.13	14537595.67	12119907.25	71815564.84	946412.2098	298813.0464	8051346.875	33099328.41	AREA / TIC
28.11.23	12	12_X.X	45258_12_X.X_62h_Peat_B.1	45258_12_X.X_62h_Peat_B.1_Media_X.X_Media.Media_P	B.1	62h	62h	62	Media	Peat.B2_X.X_62h_P	Peat.B2	Peat	X.X	Media.Media	P	1.721495198	266338.2393	700080.3727	651953.6047	5154210.136	876331.2273	80107464.8	28868670.7	3616165.184	34515886.57	16741422.82	9947349.848	71593317.32	986703.8849	99349.6817	3815529.667	32525941.43	AREA / TIC
28.11.23	13	13_F.B	45258_13_F.B_24h_Peat_B.2	45258_13_F.B_24h_Peat_B.2_Coculture_F.B_Fungi.Bacteria_P	B.2	24h	24h	24	Coculture	Peat.B2_F.B_24h_P	Peat.B2	Peat	F.B	Fungi.Bacteria	P	2.043423846	145025.7129		979300.9921	4366059.942		128950753.6	21953199.32	790404.3025	72736452.24	23699076.96	5629776.231	19113680.73	2054214.552	335660.1721	6531699.737	3181410.95	AREA / TIC
28.11.23	13	13_F.B	45258_13_F.B_62h_Peat_B.2	45258_13_F.B_62h_Peat_B.2_Coculture_F.B_Fungi.Bacteria_P	B.2	62h	62h	62	Coculture	Peat.B2_F.B_62h_P	Peat.B2	Peat	F.B	Fungi.Bacteria	P	0.60339937	37280.44996		1182878.266	5881482.778		117703654.6	18684013.56	773297.1288	88024445.64	36110463.65	2790964.136	11241388.94	2678149.964	44400.11268	4451070.279	863225.96	AREA / TIC
28.11.23	14	14_F.B	45258_14_F.B_24h_Peat_B.2	45258_14_F.B_24h_Peat_B.2_Coculture_F.B_Fungi.Bacteria_P	B.2	24h	24h	24	Coculture	Peat.B3_F.B_24h_P	Peat.B3	Peat	F.B	Fungi.Bacteria	P	0.893901167	241967.4657		1057208.598	4894527.674		127342660.7	22312495.76	1057199.649	69581598.38	24097539.85	5579116.779	23284411.93	2273322.907	134000.2725	4439358.786	4171306.781	AREA / TIC
28.11.23	14	14_F.B	45258_14_F.B_62h_Peat_B.2	45258_14_F.B_62h_Peat_B.2_Coculture_F.B_Fungi.Bacteria_P	B.2	62h	62h	62	Coculture	Peat.B3_F.B_62h_P	Peat.B3	Peat	F.B	Fungi.Bacteria	P	0.446150667	48530.69059		1741050.853	7041739.997		105226060.2	21090886.3	957398.5452	87950956.62	40474465.95	3336585.841	14995250.46	2886152.804	30612.97673	3589659.54	1097364.715	AREA / TIC
28.11.23	15	15_B.F	45258_15_B.F_24h_Peat_B.2	45258_15_B.F_24h_Peat_B.2_Coculture_B.F_Bacteria.Fungi_P	B.2	24h	24h	24	Coculture	Peat.B2_B.F_24h_P	Peat.B2	Peat	B.F	Bacteria.Fungi	P	0.884514549	317429.4874		982939.1733	4193156.576		121485137.9	23398718.55	1291052.816	68471220.78	24017247.67	7018387.661	26577367.23	2093161.725	247850.0779	4571704.335	5801341.542	AREA / TIC
28.11.23	15	15_B.F	45258_15_B.F_62h_Peat_B.2	45258_15_B.F_62h_Peat_B.2_Coculture_B.F_Bacteria.Fungi_P	B.2	62h	62h	62	Coculture	Peat.B2_B.F_62h_P	Peat.B2	Peat	B.F	Bacteria.Fungi	P	0.567205161	33446.45169		1505954.211	6371652.184		108546181	17345595.01	840752.2237	93654271.32	38318739.87	2612197.672	13065261.95	2775616.496	37686.54005	4434806.266	924554.3526	AREA / TIC
28.11.23	16	16_B.F	45258_16_B.F_24h_Peat_B.2	45258_16_B.F_24h_Peat_B.2_Coculture_B.F_Bacteria.Fungi_P	B.2	24h	24h	24	Coculture	Peat.B3_B.F_24h_P	Peat.B3	Peat	B.F	Bacteria.Fungi	P	1.293943447	216361.0788		873834.9446	6283812.496		119142957.4	26841243.4	1012268.352	68596277.7	19900292.45	8999634.435	23050238.46	2023932.349	392025.634	7120291.867	6013544.889	AREA / TIC
