	Sample_ID	Pump	Chamber	Condition	Community	Failed	Bin	tO	Flow_t0	t15	Flow_t15	t25	Flow_t25	t39	Flow_t39	t48	Flow_t48	t63	Flow_t63	t72	Flow_t72
1	C1-1	P1	Flat	ARE	BFSC	ok	1	0	5.555555556	5000	5.555555556	3300	5.5	4050	4.821428571	2700	5	4600	5.111111111	2300	4.444444444
2	C1-2	P1	Flat	ARE	BFSC	failed	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	C1-3	P1	Flat	ARE	BFSC	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4100	4.880952381	2700	5	4600	5.111111111	2500	4.62962963
4	C1-4	P1	Flat	ARE	BFSC	ok	1	0	5.722222222	5150	5.722222222	3300	5.5	4100	4.880952381	2700	5	4600	5.111111111	2550	4.722222222
5	C1-5	P1	Flat	ARE	BFSC	ok	1	0	5.555555556	5000	5.555555556	3300	5.5	4000	4.761904762	2700	5	4700	5.222222222	2550	4.722222222
6	C1-6	P1	Flat	ARE	BFSC	failed	0	0	6.111111111	5500	6.111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	C1-7	P1	Flat	ARE	BFSC	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4150	4.94047619	2700	5	4700	5.222222222	2300	4.259259259
8	C1-8	P1	Flat	ARE	BFSC	ok	1	0	5.833333333	5250	5.833333333	3350	5.583333333	4250	5.05952381	2650	4.907407407	4700	5.222222222	2300	4.259259259
9	C1-9	P1	Flat	ARE	BFSC	failed	0	0	5.666666667	5100	5.666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	C1-10	P1	Flat	ARE	BFSC	ok	1	0	5.611111111	5050	5.611111111	3300	5.5	4100	4.880952381	2650	4.907407407	4600	5.111111111	2500	4.62962963
11	C1-11	P1	Flat	ARE	BFSC	ok	1	0	6.111111111	5500	6.111111111	3300	5.5	4000	4.761904762	2650	4.907407407	4700	5.222222222	2500	4.62962963
12	C1-12	P1	Flat	ARE	BFSC	ok	1	0	5.833333333	5250	5.833333333	3300	5.5	4000	4.761904762	2700	5	4700	5.222222222	2500	4.62962963
13	C2-1	P2	Flat	ARE	BFSC	failed	0	0	5.611111111	5050	5.611111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	C2-2	P2	Flat	ARE	BFSC	ok	1	0	5.888888889	5300	5.888888889	3300	5.5	4200	5	2650	4.907407407	4750	5.277777778	2300	4.259259259
15	C2-3	P2	Flat	ARE	BFSC	failed	0	0	5.777777778	5200	5.777777778	NA	NA	NA	NA	NA	NA	4600	5.111111111	2500	4.62962963
16	C2-4	P2	Flat	ARE	BFSC	failed	0	0	5.777777778	5200	5.777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	C2-5	P2	Flat	ARE	BFSC	ok	1	0	5.888888889	5300	5.888888889	3350	5.583333333	4100	4.880952381	2650	4.907407407	4600	5.111111111	2550	4.722222222
18	C2-6	P2	Flat	ARE	BFSC	ok	1	0	5.777777778	5200	5.777777778	3300	5.5	4100	4.880952381	2650	4.907407407	4600	5.111111111	2550	4.722222222
19	C2-7	P2	Flat	ARE	BFSC	ok	1	0	5.888888889	5300	5.888888889	3300	5.5	4300	5.119047619	2700	5	4600	5.111111111	2600	4.814814815
20	C2-8	P2	Flat	ARE	BFSC	failed	0	0	5.944444444	5350	5.944444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	C2-9	P2	Flat	ARE	BFSC	ok	1	0	5.722222222	5150	5.722222222	3340	5.566666667	4150	4.94047619	2700	5	4900	5.444444444	2500	4.62962963
22	C2-10	P2	Flat	ARE	BFSC	ok	1	0	5.777777778	5200	5.777777778	3340	5.566666667	4200	5	2700	5	4950	5.5	2550	4.722222222
23	C2-11	P2	Flat	ARE	BFSC	ok	1	0	5.722222222	5150	5.722222222	3350	5.583333333	4300	5.119047619	2600	4.814814815	4950	5.5	2550	4.722222222
24	C2-12	P2	Flat	ARE	BFSC	ok	1	0	6	5400	6	3300	5.5	4000	4.761904762	2700	5	4600	5.111111111	2550	4.722222222
